image_name,target,prediction
ISIC_2637011,0,0.014326020143926144
ISIC_0015719,0,0.004816566128283739
ISIC_0052212,0,0.022585870698094368
ISIC_0068279,0,0.029841983690857887
ISIC_0074268,0,0.0015280351508408785
ISIC_0074311,0,0.0018570910906419158
ISIC_0074542,0,0.016900597140192986
ISIC_0075663,0,0.026015235111117363
ISIC_0075914,0,0.0007668588659726083
ISIC_0076262,0,0.0019703295547515154
ISIC_0076545,0,0.0803668424487114
ISIC_0076742,0,0.004834116902202368
ISIC_0076995,0,0.023048926144838333
ISIC_0077472,0,0.00035912159364670515
ISIC_0077735,0,0.0005986704491078854
ISIC_0078703,0,0.002965639578178525
ISIC_0078712,0,0.028221873566508293
ISIC_0079038,0,0.013476102612912655
ISIC_0080512,0,0.0017636700067669153
ISIC_0080752,0,0.0019537846092134714
ISIC_0080817,0,0.028165778145194054
ISIC_0081956,0,0.003035209374502301
ISIC_0082348,0,0.013556882739067078
ISIC_0082543,0,0.0005416941130533814
ISIC_0082934,0,0.02599453739821911
ISIC_0083035,0,0.019582772627472878
ISIC_0084086,0,0.02343752235174179
ISIC_0084270,0,0.027897322550415993
ISIC_0084395,0,0.023331711068749428
ISIC_0085172,0,0.0005268969689495862
ISIC_0085718,0,0.010500473901629448
ISIC_0085902,0,0.013961019925773144
ISIC_0086349,0,0.025448843836784363
ISIC_0086462,0,0.0007882007630541921
ISIC_0086632,0,0.002730498556047678
ISIC_0086709,0,0.0020052080508321524
ISIC_0087290,0,0.0014870123704895377
ISIC_0087297,0,0.0004624685680028051
ISIC_0088137,0,0.0060394033789634705
ISIC_0088489,0,0.007310252171009779
ISIC_0089401,0,0.000558791565708816
ISIC_0089569,0,0.022586962208151817
ISIC_0089738,0,0.024726232513785362
ISIC_0090279,0,0.0010482496581971645
ISIC_0091016,0,0.02111087366938591
ISIC_0091559,0,0.014969058334827423
ISIC_0091996,0,0.0293255727738142
ISIC_0092726,0,0.024169564247131348
ISIC_0092870,0,0.03508775308728218
ISIC_0094701,0,0.0037126175593584776
ISIC_0094755,0,0.022626083344221115
ISIC_0094775,0,0.0007057460024952888
ISIC_0095805,0,0.0006141061894595623
ISIC_0096201,0,0.02376497909426689
ISIC_0096227,0,0.0022259156685322523
ISIC_0096328,0,0.011980189941823483
ISIC_0097499,0,0.0009251289302483201
ISIC_0097500,0,0.0007020956254564226
ISIC_0097997,0,0.02723879925906658
ISIC_0098198,0,0.022778576239943504
ISIC_0098784,0,0.0012631230056285858
ISIC_0099474,0,0.0013153372565284371
ISIC_0099546,0,0.0008685967186465859
ISIC_0100550,0,0.0010052962461486459
ISIC_0103298,0,0.00041350876563228667
ISIC_0105145,0,0.03091786615550518
ISIC_0106091,0,0.0015497667482122779
ISIC_0109415,0,0.0013573062606155872
ISIC_0109568,0,0.023558825254440308
ISIC_0109703,0,0.02283034846186638
ISIC_0109869,0,0.006802001502364874
ISIC_0112097,0,0.001111430930905044
ISIC_0112444,0,0.013925855048000813
ISIC_0112884,0,0.002225734991952777
ISIC_0113820,0,0.0034561590291559696
ISIC_0114225,0,0.025806257501244545
ISIC_0120729,0,0.031327247619628906
ISIC_0124849,0,0.007787748705595732
ISIC_0125706,0,0.019718067720532417
ISIC_0134357,0,0.008852689526975155
ISIC_0136526,0,0.022142158821225166
ISIC_0140339,0,0.002424619859084487
ISIC_0147642,0,0.006298509892076254
ISIC_0147817,0,0.0032147809397429228
ISIC_0147869,0,0.0003539392782840878
ISIC_0148465,0,0.01648649200797081
ISIC_0148643,0,0.008627123199403286
ISIC_0148677,0,0.0013302736915647984
ISIC_0148751,0,0.0011846352135762572
ISIC_0148783,0,0.0005046661826781929
ISIC_0149527,0,0.02395433746278286
ISIC_0149568,1,0.005113765597343445
ISIC_0149698,0,0.0006291797035373747
ISIC_0149918,0,0.02341952733695507
ISIC_0150363,0,0.0009998953901231289
ISIC_0150975,0,0.03465244174003601
ISIC_0151200,0,0.02675667218863964
ISIC_0152307,0,0.014383411966264248
ISIC_0152823,0,0.0006248619756661355
ISIC_0153265,0,0.02512027882039547
ISIC_0153549,0,0.0366477333009243
ISIC_0153589,0,0.0038910519797354937
ISIC_0153911,0,0.0005091005004942417
ISIC_0153932,0,0.0007233823998831213
ISIC_0154032,0,0.026098892092704773
ISIC_0154253,0,0.029103709384799004
ISIC_0154338,0,0.02398616634309292
ISIC_0154813,0,0.0004742844612337649
ISIC_0154870,0,0.000693117268383503
ISIC_0154872,0,0.014538739807903767
ISIC_0154880,0,0.015131443738937378
ISIC_0155012,0,0.027290811762213707
ISIC_0155173,0,0.03494679555296898
ISIC_0155273,0,0.023268310353159904
ISIC_0155473,0,0.00573638966307044
ISIC_0155575,0,0.0004031585995107889
ISIC_0156460,0,0.147396519780159
ISIC_0156642,0,0.026533398777246475
ISIC_0156772,0,0.025446856394410133
ISIC_0157530,0,0.0010207935702055693
ISIC_0157923,0,0.0237624179571867
ISIC_0158127,0,0.0004849220276810229
ISIC_0158187,0,0.023106655105948448
ISIC_0159060,0,0.3532145023345947
ISIC_0159568,0,0.018614929169416428
ISIC_0159663,0,0.0007717764819972217
ISIC_0159746,0,0.02388393133878708
ISIC_0159782,0,0.02436688356101513
ISIC_0159996,0,0.09252973645925522
ISIC_0160270,0,0.0017989048501476645
ISIC_0160340,0,0.023356925696134567
ISIC_0160455,0,0.025783434510231018
ISIC_0160831,0,0.020709998905658722
ISIC_0161840,0,0.020014962181448936
ISIC_0162627,0,0.04900797829031944
ISIC_0162708,0,0.008070273324847221
ISIC_0162967,0,0.026296529918909073
ISIC_0163110,0,0.07506795972585678
ISIC_0163463,0,0.022866686806082726
ISIC_0163639,0,0.02674984745681286
ISIC_0163765,0,0.0005332480068318546
ISIC_0163767,0,0.0013255157973617315
ISIC_0163812,0,0.008555334061384201
ISIC_0164145,0,0.017527403309941292
ISIC_0164297,0,0.024256359785795212
ISIC_0164329,0,0.05252797529101372
ISIC_0164388,0,0.023482531309127808
ISIC_0164512,0,0.009535866789519787
ISIC_0164603,0,0.03056628443300724
ISIC_0164809,0,0.03409821540117264
ISIC_0165273,0,0.001862702309153974
ISIC_0165449,0,0.10859081894159317
ISIC_0165903,0,0.0005335476598702371
ISIC_0165945,0,0.027039146050810814
ISIC_0166059,0,0.022517453879117966
ISIC_0166202,0,0.021363474428653717
ISIC_0166935,0,0.02598121576011181
ISIC_0166988,0,0.023455128073692322
ISIC_0167093,0,0.025611577555537224
ISIC_0168306,0,0.06281614303588867
ISIC_0168399,0,0.005441468209028244
ISIC_0168418,0,0.024088455364108086
ISIC_0168678,0,0.03368654474616051
